District,Total,Relief Camp,Relief Distribution Centres
Cachar,12,"12(Silchar | 3, Katigorah | 9)","0(Silchar | 0, Katigorah | 0)"
Nagaon,1,0(Kampur | 0),1(Kampur | 1)
Hojai,10,5(Hojai | 5),5(Hojai | 5)
Karbi Anglong West,6,3(Donkamokam | 3),3(Donkamokam | 3)
Biswanath,5,1(Halem | 1),4(Halem | 4)
Cachar,20,"20(Lakhipur | 2, Silchar | 5, Katigorah | 13)","0(Lakhipur | 0, Silchar | 0, Katigorah | 0)"
Dima-Hasao,2,1(Haflong | 1),1(Haflong | 1)
Hojai,31,31(Hojai | 31),0(Hojai | 0)
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4)
Nagaon,3,0(Kampur | 0),3(Kampur | 3)
Udalguri,2,2(Khairabari | 2),0(Khairabari | 0)
Udalguri,19,"0(Mazbat | 0, Kalaigaon | 0, Khairabari | 0, Udalguri | 0)","19(Mazbat | 9, Kalaigaon | 1, Khairabari | 2, Udalguri | 7)"
Sonitpur,14,"0(Dhekiajuli | 0, Tezpur | 0)","14(Dhekiajuli | 7, Tezpur | 7)"
Nagaon,6,"3(Raha | 2, Kampur | 1)","3(Raha | 0, Kampur | 3)"
Karimganj,8,"1(Badarpur | 1, Karimganj | 0)","7(Badarpur | 0, Karimganj | 7)"
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3)
Kamrup,1,1(Rangia | 1),0(Rangia | 0)
Hojai,59,"40(Hojai | 37, Lanka | 3, Doboka | 0)","19(Hojai | 0, Lanka | 2, Doboka | 17)"
Dima-Hasao,2,1(Haflong | 1),1(Haflong | 1)
Dibrugarh,2,0(Chabua | 0),2(Chabua | 2)
Charaideo,1,0(Sapekhati | 0),1(Sapekhati | 1)
Cachar,43,"41(Lakhipur | 2, Katigorah | 23, Silchar | 16)","2(Lakhipur | 0, Katigorah | 2, Silchar | 0)"
Biswanath,18,"2(Halem | 2, Biswanath | 0)","16(Halem | 6, Biswanath | 10)"
Bajali,2,0(Bajali | 0),2(Bajali | 2)
Udalguri,18,"2(Khairabari | 2, Udalguri | 0, Kalaigaon | 0, Harisinga | 0)","16(Khairabari | 2, Udalguri | 5, Kalaigaon | 8, Harisinga | 1)"
Sonitpur,2,0(Naduar | 0),2(Naduar | 2)
Nagaon,31,"11(Nagaon | 5, Raha | 2, Kampur | 4)","20(Nagaon | 0, Raha | 1, Kampur | 19)"
Karimganj,9,"2(Badarpur | 2, Karimganj | 0)","7(Badarpur | 0, Karimganj | 7)"
Karbi Anglong West,3,0(Donkamokam | 0),3(Donkamokam | 3)
Kamrup,1,1(Rangia | 1),0(Rangia | 0)
Charaideo,1,0(Sapekhati | 0),1(Sapekhati | 1)
Hailakandi,6,2(Algapur | 2),4(Algapur | 4)
Hojai,74,"47(Hojai | 46, Doboka | 1, Lanka | 0)","27(Hojai | 5, Doboka | 17, Lanka | 5)"
Bajali,4,0(Bajali | 0),4(Bajali | 4)
Biswanath,18,"2(Halem | 2, Naduar RC part | 0, Biswanath | 0)","16(Halem | 9, Naduar RC part | 2, Biswanath | 5)"
Cachar,64,"64(Udharbond | 1, Silchar | 27, Lakhipur | 5, Sonai | 6, Katigorah | 25)","0(Udharbond | 0, Silchar | 0, Lakhipur | 0, Sonai | 0, Katigorah | 0)"
Darrang,13,"0(Mangaldoi | 0, Patharighat | 0)","13(Mangaldoi | 4, Patharighat | 9)"
Dima-Hasao,4,4(Haflong | 4),0(Haflong | 0)
Biswanath,8,"1(Halem | 1, Biswanath | 0)","7(Halem | 1, Biswanath | 6)"
