District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Cachar,1685,"(Udharbond | 0), (Lakhipur | 0), (Sonai | 0), (Silchar | 573), (Katigorah | 1112)",708,509,467,1,0
Hojai,2370,"(Lanka | 0), (Doboka | 0), (Hojai | 2370)",1445,712,185,28,0
Karbi Anglong West,275,(Donkamokam | 275),86,92,97,0,0
Hojai,29827,"(Lanka | 0), (Doboka | 0), (Hojai | 29827)",17767,9713,2333,14,0
Cachar,2623,"(Udharbond | 0), (Sonai | 0), (Lakhipur | 518), (Silchar | 631), (Katigorah | 1474)",1039,837,744,3,0
Biswanath,100,"(Gohpur | 0), (Biswanath | 0), (Halem | 100)",42,37,20,1,0
Udalguri,159,"(Udalguri | 0), (Harisinga | 0), (Mazbat | 0), (Kalaigaon | 0), (Khairabari | 159)",54,62,42,1,0
Dima-Hasao,250,(Haflong | 250),100,100,50,0,0
Hojai,31111,"(Lanka | 0), (Doboka | 0), (Hojai | 31111)",20490,9307,1312,2,0
Dima-Hasao,250,(Haflong | 250),100,100,50,0,0
Cachar,7589,"(Katigorah | 2851), (Silchar | 4220), (Lakhipur | 518), (Udharbond | 0), (Sonai | 0)",2956,2390,2240,3,0
Nagaon,246,"(Kampur | 169), (Raha | 77)",85,82,72,6,1
Karimganj,50,"(Badarpur | 50), (Karimganj | 0)",25,15,5,5,0
Kamrup,227,"(Kayan | 0), (Rangia | 227)",86,76,60,5,0
Biswanath,85,"(Naduar RC part | 0), (Biswanath | 0), (Gohpur | 0), (Halem | 85)",38,36,10,1,0
Hailakandi,464,(Algapur | 464),117,117,230,0,0
Biswanath,52,"(Halem | 52), (Naduar RC part | 0), (Gohpur | 0), (Biswanath | 0)",17,27,7,1,0
Hojai,31981,"(Lanka | 0), (Doboka | 0), (Hojai | 31981)",20046,9623,2295,15,2
Kamrup,40,"(Kayan | 0), (Rangia | 40)",17,12,10,1,0
Karimganj,152,"(Karimganj | 0), (Badarpur | 152)",72,57,14,9,0
Nagaon,2853,"(Nagaon | 1008), (Raha | 159), (Kampur | 1686)",1178,1036,616,21,2
