district,peak_camps,total_camp_days,active_days_with_camps,avg_camps_on_active_day,peak_persons_sheltered,total_person_days,active_days_with_persons,avg_persons_on_active_day,status,lat,lng
BAJALI,116,595,29,20.5,6439,42449,25,1698.0,OPEN,26.46,91.01
BAKSA,22,99,13,7.6,2304,6574,8,821.8,OPEN,26.586437,91.186951
BARPETA,224,1886,23,82.0,110535,722538,20,36126.9,OPEN,26.361383,91.018955
BISWANATH,21,113,17,6.6,631,1221,10,122.1,OPEN,26.73,93.15
BONGAIGAON,76,350,10,35.0,8776,42932,9,4770.2,OPEN,26.48,90.558
CACHAR,419,7791,60,129.8,257838,3173302,55,57696.4,OPEN,24.806992,92.90744
CHARAIDEO,19,31,5,6.2,75,149,2,74.5,OPEN,27.089807,95.115823
CHIRANG,20,173,35,4.9,3831,26353,34,775.1,OPEN,26.607931,90.622845
DARRANG,119,763,26,29.3,7156,46752,18,2597.3,OPEN,26.46308,91.951706
DHEMAJI,32,241,28,8.6,447,2365,8,295.6,OPEN,27.531374,94.605632
DHUBRI,65,338,9,37.6,8234,46143,9,5127.0,OPEN,26.191769,90.012644
DIBRUGARH,25,110,20,5.5,215,1180,7,168.6,OPEN,27.293207,95.154154
DIMA HASAO,37,937,60,15.6,1922,49166,44,1117.4,OPEN,25.12,93.05
GOALPARA,161,875,15,58.3,33391,165363,13,12720.2,OPEN,26.003968,90.508152
GOLAGHAT,15,35,5,7.0,0,0,0,0.0,OPEN,26.447963,93.824868
HAILAKANDI,36,229,31,7.4,5862,24254,27,898.3,OPEN,24.68,92.56
HOJAI,78,918,30,30.6,43811,442029,29,15242.4,OPEN,26.018779,92.985728
KAMRUP,117,914,33,27.7,12569,80056,29,2760.6,OPEN,26.12857,91.500845
KAMRUP METROPOLITAN,24,82,9,9.1,697,2840,7,405.7,OPEN,26.1445,91.7362
KARIMGANJ,153,1494,31,48.2,20595,192829,31,6220.3,OPEN,24.67191,92.378372
KOKRAJHAR,128,233,5,46.6,19579,41257,5,8251.4,OPEN,26.391653,90.133435
LAKHIMPUR,32,338,29,11.7,893,2115,5,423.0,OPEN,27.235,94.104
MAJULI,12,40,8,5.0,0,0,0,0.0,OPEN,27.017811,94.282911
MORIGAON,98,715,58,12.3,28352,86930,51,1704.5,OPEN,26.23607,92.264381
NAGAON,300,2789,41,68.0,20987,448868,36,12468.6,OPEN,26.385584,92.897405
NALBARI,135,754,19,39.7,29965,152017,18,8445.4,OPEN,26.405407,91.38385
SIVASAGAR,9,39,7,5.6,0,0,0,0.0,OPEN,26.984,94.637
SONITPUR,52,208,22,9.5,617,3000,13,230.8,OPEN,26.66887,92.636761
SOUTH SALMARA-MANKACHAR,45,170,6,28.3,472,1953,5,390.6,OPEN,25.58,89.98
TAMULPUR,52,297,29,10.2,2923,15014,27,556.1,OPEN,26.71,91.36
TINSUKIA,26,111,14,7.9,2165,6822,9,758.0,OPEN,27.4981,95.633044
UDALGURI,73,418,33,12.7,5206,26269,28,938.2,OPEN,26.623614,91.954886
WEST KARBI ANGLONG,34,103,22,4.7,275,275,1,275.0,OPEN,26.0524,92.7789
